,date,symbol,type,time_enter,px_enter,time_exit,px_exit,pnl
1406,2019-02-25 00:00:00,i,short,2019-02-25 10:45:00,611.5,2019-02-25 13:45:00,606.0,450.0
1407,2019-02-26 00:00:00,i,long,2019-02-26 13:45:00,598.5,2019-02-26 23:30:00,599.5,0.0
1408,2019-02-27 00:00:00,i,short,2019-02-27 15:00:00,593.5,2019-02-27 21:30:00,602.0,-950.0
1409,2019-02-27 00:00:00,i,long,2019-02-27 21:30:00,602.0,2019-02-28 10:45:00,601.5,-150.0
1410,2019-03-04 00:00:00,i,short,2019-03-04 10:00:00,629.0,2019-03-04 13:45:00,633.5,-550.0
1411,2019-03-05 00:00:00,i,long,2019-03-05 14:15:00,623.0,2019-03-05 22:00:00,616.5,-750.0
1412,2019-03-05 00:00:00,i,short,2019-03-05 22:00:00,616.5,2019-03-05 22:30:00,622.5,-700.0
1413,2019-03-05 00:00:00,i,long,2019-03-05 22:30:00,622.5,2019-03-05 23:30:00,619.0,-450.0
1414,2019-03-05 00:00:00,i,short,2019-03-05 23:30:00,619.0,2019-03-06 10:00:00,622.0,-400.0
1415,2019-03-06 00:00:00,i,long,2019-03-06 10:00:00,622.0,2019-03-06 10:45:00,618.0,-500.0
1416,2019-03-06 00:00:00,i,short,2019-03-06 10:45:00,618.0,2019-03-06 13:45:00,621.0,-400.0
1417,2019-03-07 00:00:00,i,long,2019-03-07 13:45:00,616.5,2019-03-07 23:00:00,614.5,-300.0
1418,2019-03-07 00:00:00,i,short,2019-03-07 23:00:00,614.5,2019-03-08 10:00:00,617.5,-400.0
1419,2019-03-08 00:00:00,i,long,2019-03-08 10:00:00,617.5,2019-03-08 13:45:00,614.0,-450.0
1420,2019-03-08 00:00:00,i,short,2019-03-08 13:45:00,614.0,2019-03-08 14:15:00,617.0,-400.0
1421,2019-03-08 00:00:00,i,long,2019-03-08 14:15:00,617.0,2019-03-08 15:00:00,613.0,-500.0
1422,2019-03-08 00:00:00,i,short,2019-03-08 15:00:00,613.0,2019-03-11 10:45:00,595.5,1650.0
1423,2019-03-11 00:00:00,i,long,2019-03-11 21:30:00,603.5,2019-03-12 10:45:00,605.5,100.0
1424,2019-03-13 00:00:00,i,short,2019-03-13 15:00:00,603.5,2019-03-13 23:00:00,613.0,-1050.0
1425,2019-03-13 00:00:00,i,long,2019-03-13 23:00:00,613.0,2019-03-14 13:45:00,624.0,1000.0
1426,2019-03-14 00:00:00,i,short,2019-03-14 23:30:00,621.5,2019-03-15 13:45:00,619.5,100.0
1427,2019-03-15 00:00:00,i,long,2019-03-15 21:30:00,627.5,2019-03-18 10:45:00,634.5,600.0
1428,2019-03-18 00:00:00,i,short,2019-03-18 15:00:00,633.0,2019-03-18 21:30:00,638.5,-650.0
1429,2019-03-18 00:00:00,i,long,2019-03-18 21:30:00,638.5,2019-03-19 09:30:00,636.5,-300.0
1430,2019-03-19 00:00:00,i,short,2019-03-19 09:30:00,636.5,2019-03-19 13:45:00,633.5,200.0
1431,2019-03-20 00:00:00,i,long,2019-03-20 23:00:00,611.0,2019-03-21 13:45:00,611.5,-50.0
1432,2019-03-25 00:00:00,i,short,2019-03-25 10:45:00,612.5,2019-03-25 13:45:00,613.0,-150.0
1433,2019-03-25 00:00:00,i,long,2019-03-25 21:30:00,614.5,2019-03-26 10:45:00,615.5,0.0
1434,2019-03-26 00:00:00,i,short,2019-03-26 14:15:00,612.0,2019-03-26 22:00:00,615.5,-450.0
1435,2019-03-26 00:00:00,i,long,2019-03-26 22:00:00,615.5,2019-03-26 23:00:00,613.5,-300.0
1436,2019-03-26 00:00:00,i,short,2019-03-26 23:00:00,613.5,2019-03-26 23:30:00,614.5,-200.0
1437,2019-03-26 00:00:00,i,long,2019-03-26 23:30:00,614.5,2019-03-27 13:45:00,614.5,-100.0
1438,2019-03-27 00:00:00,i,short,2019-03-27 13:45:00,614.5,2019-03-27 23:30:00,612.5,100.0
1439,2019-03-28 00:00:00,i,long,2019-03-28 09:30:00,614.0,2019-03-28 13:45:00,609.0,-600.0
1440,2019-03-28 00:00:00,i,short,2019-03-28 13:45:00,609.0,2019-03-28 23:30:00,613.5,-550.0
1441,2019-03-28 00:00:00,i,long,2019-03-28 23:30:00,613.5,2019-03-29 13:45:00,627.5,1300.0
1442,2019-04-03 00:00:00,i,short,2019-04-03 21:30:00,684.5,2019-04-04 10:45:00,681.0,250.0
1443,2019-04-08 00:00:00,i,long,2019-04-08 22:30:00,658.5,2019-04-09 10:00:00,648.0,-1150.0
1444,2019-04-09 00:00:00,i,short,2019-04-09 10:00:00,648.0,2019-04-09 13:45:00,644.0,300.0
1445,2019-04-09 00:00:00,i,long,2019-04-09 22:30:00,647.0,2019-04-10 13:45:00,647.0,-100.0
1446,2019-04-11 00:00:00,i,short,2019-04-11 23:30:00,649.0,2019-04-12 09:30:00,652.5,-450.0
1447,2019-04-12 00:00:00,i,long,2019-04-12 09:30:00,652.5,2019-04-12 13:45:00,646.0,-750.0
1448,2019-04-12 00:00:00,i,short,2019-04-12 13:45:00,646.0,2019-04-12 14:15:00,652.5,-750.0
1449,2019-04-12 00:00:00,i,long,2019-04-12 15:00:00,653.5,2019-04-15 09:30:00,650.5,-400.0
1450,2019-04-15 00:00:00,i,short,2019-04-15 09:30:00,650.5,2019-04-15 13:45:00,657.0,-750.0
1451,2019-04-15 00:00:00,i,long,2019-04-15 13:45:00,657.0,2019-04-15 21:30:00,652.5,-550.0
